nofinesset;nofinessej;rs;rslongue;numvoie;compvoie;typvoie;voie;lieuditbp;departement;libdepartement;cp;commune;telephone;telecopie;dateouv;dateautor;datemaj;wgs84;lat;lng
930012703;930012695;PHARM COHEN DE LARA;;103;;AVENUE;JEAN LOLIVE;;93;SEINE-SAINT-DENIS;93500;PANTIN;148452667;;21/10/1991;12/02/1943;25/08/2010;48.8925, 2.40914;48.89249999999999;2.40914
930013404;930004478;PHARM CENTRALE;;16;;PL;GENERAL DE GAULLE;;93;SEINE-SAINT-DENIS;93340;LE RAINCY;143810779;143028507;06/02/1985;02/12/1943;25/08/2010;48.8906, 2.51241;48.890599999999985;2.5124100000000005
930014022;930004999;SELARL PHARMACIE DE LA GARE;;28;;AVENUE;DE LA REPUBLIQUE;;93;SEINE-SAINT-DENIS;93110;ROSNY SOUS BOIS;145280098;;14/12/2009;11/05/1943;21/12/2009;48.8703, 2.48458;48.8703;2.48458
930014105;930014097;PHARM  DAVID AGNES;;;;PL;SAINT EXUPERY;;93;SEINE-SAINT-DENIS;93110;ROSNY SOUS BOIS;145281062;;22/03/1996;02/07/1964;12/06/2009;48.8808, 2.4899;48.880799999999994;2.4899000000000004
930014550;930014543;PHARM TAGUIGUE TAHAR;;30;;RUE;DU 19 MARS 1962;;93;SEINE-SAINT-DENIS;93200;ST DENIS;148215532;;13/04/1992;28/12/1960;25/08/2010;48.9479, 2.35269;48.94789999999999;2.35269
930014634;930014626;PHARMACIE DU STADE DE FRANCE;;11;;RUE;JESSE OWENS;;93;SEINE-SAINT-DENIS;93210;LA PLAINE ST DENIS;148201562;;19/09/1996;20/10/1943;25/08/2010;48.924725, 2.364203;48.924725;2.364203
930015102;930015094;SELARL PHARMACIE GARIBALDI;;63;;AVENUE;GABRIEL PERI;;93;SEINE-SAINT-DENIS;93400;ST OUEN;140110161;;15/01/2008;29/04/1943;25/08/2010;48.9072, 2.33238;48.9072;2.33238
930015151;930015144;PHARM BARNAUD MARC;;107;;AVENUE;GABRIEL PERI;;93;SEINE-SAINT-DENIS;93400;ST OUEN;142540166;;09/03/1994;05/05/1943;25/06/2009;48.9034, 2.33109;48.90339999999999;2.33109
930015672;930015664;PHARM TOUATI MARCEL YVON;;29;;AVENUE;ARISTIDE BRIAND;;93;SEINE-SAINT-DENIS;93240;STAINS;148266808;;18/05/1984;21/07/1951;30/06/2009;48.9617, 2.38042;48.961700000000015;2.38042
930015771;930015763;SELURL PHARMACIE DU CENTRE;;58;;AVENUE;LOUIS BORDES;;93;SEINE-SAINT-DENIS;93240;STAINS;148266260;;10/01/2008;14/04/1943;30/06/2009;48.9556, 2.3839;48.95559999999999;2.3839
